,id,instruction,response,test_list,instruction_en
17,18,"মুদ্রা পরিবর্তনের জন্য একটি ফাংশন লিখুন।
Example:
coin_change(S, m, n)","def coin_change(S, m, n): 
    table = [[0 for x in range(m)] for x in range(n+1)] 
    for i in range(m): 
        table[0][i] = 1
    for i in range(1, n+1): 
        for j in range(m): 
            x = table[i - S[j]][j] if i-S[j] >= 0 else 0
            y = table[i][j-1] if j >= 1 else 0 
            table[i][j] = x + y   
    return table[n][m-1] ","""['assert coin_change([1, 2, 3],3,4)==4', 'assert coin_change([4,5,6,7,8,9],6,9)==2', 'assert coin_change([4,5,6,7,8,9],6,4)==1']""",Type currency change for a function.
18,19,"একটি পাইথন ফাংশন লিখুন যাতে তালিকার সব আইটেমকে গুণ করা যায়।
Example:
multiply_list(items)","def multiply_list(items):
    tot = 1
    for x in items:
        tot *= x
    return tot","""['assert multiply_list([1,-2,3]) == -6', 'assert multiply_list([1,2,3,4]) == 24', 'assert multiply_list([3,1,2,3]) == 18']""",Write a Python function so that all items in the list can be multiplied.
19,20,"একটি ফাংশন লিখুন যাতে প্রদত্ত টিপল তালিকায় সমস্ত শূন্য মান সহ সমস্ত টিপলগুলি সরিয়ে ফেলা যায়।
Example:
remove_tuple(test_list)","def remove_tuple(test_list):
  res = [sub for sub in test_list if not all(ele == None for ele in sub)]
  return (str(res)) ","""[\""assert remove_tuple([(None, 2), (None, None), (3, 4), (12, 3), (None, )] ) == '[(None, 2), (3, 4), (12, 3)]'\"", \""assert remove_tuple([(None, None), (None, None), (3, 6), (17, 3), (None,1 )] ) == '[(3, 6), (17, 3), (None, 1)]'\"", \""assert remove_tuple([(1, 2), (2, None), (3, None), (24, 3), (None, None )] ) == '[(1, 2), (2, None), (3, None), (24, 3)]'\""]""",Write a function that removes all the null values from the given table list.
20,21,"একটি ফাংশন লিখুন যাতে n আকারের প্রতিটি টুপলকে চুনক করা যায়।
Example:
chunk_tuples(test_tup, N)","def chunk_tuples(test_tup, N):
  res = [test_tup[i : i + N] for i in range(0, len(test_tup), N)]
  return (res) ","""['assert chunk_tuples((10, 4, 5, 6, 7, 6, 8, 3, 4), 3) == [(10, 4, 5), (6, 7, 6), (8, 3, 4)]', 'assert chunk_tuples((1, 2, 3, 4, 5, 6, 7, 8, 9), 2) == [(1, 2), (3, 4), (5, 6), (7, 8), (9,)]', 'assert chunk_tuples((11, 14, 16, 17, 19, 21, 22, 25), 4) == [(11, 14, 16, 17), (19, 21, 22, 25)]']""",Write a function so that each group of n sizes can be chosen.
21,22,"একটি প্রদত্ত পূর্ণসংখ্যা অ্যারে থেকে সর্বোচ্চ উৎপাদনের সাথে একটি জোড়া খুঁজে পেতে একটি ফাংশন লিখুন।
Example:
max_product(arr)","def max_product(arr): 
    arr_len = len(arr) 
    if (arr_len < 2): 
        return None     
    x = arr[0]; y = arr[1]    
    for i in range(0, arr_len): 
        for j in range(i + 1, arr_len): 
            if (arr[i] * arr[j] > x * y): 
                x = arr[i]; y = arr[j] 
    return x,y   ","""['assert max_product([1, 2, 3, 4, 7, 0, 8, 4])==(7, 8)', 'assert max_product([0, -1, -2, -4, 5, 0, -6])==(-4, -6)', 'assert max_product([1, 3, 5, 6, 8, 9])==(8,9)']""",Enter a function to find a pair with the maximum output from a given integer array.
22,23,"একটি ফাংশন লিখুন যাতে সবচেয়ে ছোট স্ট্রিং এর দৈর্ঘ্য খুঁজে পাওয়া যায় যার মধ্যে str1 এবং str2 উভয়ই সাবসেকভেন্স হিসাবে থাকে।
Example:
super_seq(X, Y, m, n)","def super_seq(X, Y, m, n):
	if (not m):
		return n
	if (not n):
		return m
	if (X[m - 1] == Y[n - 1]):
		return 1 + super_seq(X, Y, m - 1, n - 1)
	return 1 + min(super_seq(X, Y, m - 1, n),	super_seq(X, Y, m, n - 1))","""['assert super_seq(\""AGGTAB\"", \""GXTXAYB\"", 6, 7) == 9', 'assert super_seq(\""feek\"", \""eke\"", 4, 3) == 5', 'assert super_seq(\""PARRT\"", \""RTA\"", 5, 3) == 6']""",Write a function so as to find the length of the smallest string in which both str1 and str2 are subsquences.
23,24,"একটি ফাংশন লিখুন যাতে দুইটি সংখ্যার সর্বোচ্চ সংখ্যা পাওয়া যায়।
Example:
max_of_two( x, y )","def max_of_two( x, y ):
    if x > y:
        return x
    return y","""['assert max_of_two(10,20)==20', 'assert max_of_two(19,15)==19', 'assert max_of_two(-10,-20)==-10']""",Write a function so that the maximum number of two numbers is available.
24,25,"একটি প্রদত্ত টুপলের সমস্ত সংখ্যার গুণফল গণনা করার জন্য একটি পাইথন ফাংশন লিখুন।
Example:
mutiple_tuple(nums)","def mutiple_tuple(nums):
    temp = list(nums)
    product = 1 
    for x in temp:
        product *= x
    return product","""['assert mutiple_tuple((4, 3, 2, 2, -1, 18)) == -864', 'assert mutiple_tuple((1,2,3)) == 6', 'assert mutiple_tuple((-2,-4,-6)) == -48']""",Enter a Python function to calculate the product of all numbers of a given group.
25,26,"n-তম rencontres সংখ্যা খুঁজে বের করার জন্য একটি ফাংশন লিখুন।
Example:
rencontres_number(n, m)","def binomial_coeffi(n, k): 
	if (k == 0 or k == n): 
		return 1
	return (binomial_coeffi(n - 1, k - 1) 
		+ binomial_coeffi(n - 1, k)) 
def rencontres_number(n, m): 
	if (n == 0 and m == 0): 
		return 1
	if (n == 1 and m == 0): 
		return 0
	if (m == 0): 
		return ((n - 1) * (rencontres_number(n - 1, 0)+ rencontres_number(n - 2, 0))) 
	return (binomial_coeffi(n, m) * rencontres_number(n - m, 0))","""['assert rencontres_number(7, 2) == 924', 'assert rencontres_number(3, 0) == 2', 'assert rencontres_number(3, 1) == 3']""",Enter the n-th number of encounters to find a function.
26,27,"প্রদত্ত বাইনারি গাছের উচ্চতা গণনা করার জন্য একটি ফাংশন লিখুন।
Example:
max_height(node)","class Node: 
	def __init__(self, data): 
		self.data = data 
		self.left = None
		self.right = None
def max_height(node): 
	if node is None: 
		return 0; 
	else: 
		left_height = max_height(node.left) 
		right_height = max_height(node.right) 
		if (left_height > right_height): 
			return left_height+1
		else: 
			return right_height+1","""['assert (max_height(root)) == 3', 'assert (max_height(root1)) == 5 ', 'assert (max_height(root2)) == 4']""",Enter a function to calculate the height of a given binary tree.
27,28,"একটি ফাংশন লিখুন যাতে yyyy-mm-dd ফরম্যাটের একটি তারিখ dd-mm-yyyy ফরম্যাটে রূপান্তর করা যায়।
Example:
change_date_format(dt)","import re
def change_date_format(dt):
    return re.sub(r'(\d{4})-(\d{1,2})-(\d{1,2})', '\\3-\\2-\\1', dt)","""[\""assert change_date_format('2026-01-02')=='02-01-2026'\"", \""assert change_date_format('2021-01-04')=='04-01-2021'\"", \""assert change_date_format('2030-06-06')=='06-06-2030'\""]""",Write a function to convert a date from the yyyy-mm-dd format to the dd-mm-yyyy format.
28,29,"একটি টুপলের পুনরাবৃত্ত আইটেম গণনা করার জন্য একটি ফাংশন লিখুন।
Example:
count_tuplex(tuplex,value)","def count_tuplex(tuplex,value):  
    count = tuplex.count(value)
    return count","""['assert count_tuplex((2, 4, 5, 6, 2, 3, 4, 4, 7),4)==3', 'assert count_tuplex((2, 4, 5, 6, 2, 3, 4, 4, 7),2)==2', 'assert count_tuplex((2, 4, 7, 7, 7, 3, 4, 4, 7),7)==4']""",Enter a function for counting repeating items of a group.
29,30,"একটি ফাংশন লিখুন যা একটি স্ট্রিং এর সাথে মিলবে যার মধ্যে একটি a আছে যার পরে শূন্য বা আরও b আছে regex ব্যবহার করে।
Example:
text_match(text)","import re
def text_match(text):
    patterns = 'ab*?'
    if re.search(patterns,  text):
        return ('Found a match!')
    else:
        return ('Not matched!')","""['assert text_match(\""msb\"") == \\'Not matched!\\'', 'assert text_match(\""a0c\"") == \\'Found a match!\\'', 'assert text_match(\""abbc\"") == \\'Found a match!\\'']""",Write a function that matches a string that has a followed by zero or more b using regex.
30,31,"13+23+33+....+n3 সিরিজের যোগফল গণনা করার জন্য একটি ফাংশন লিখুন।
Example:
sum_series(number)","import math 
def sum_series(number):
    total = 0
    total = math.pow((number * (number + 1)) /2, 2)
    return total","""['assert sum_series(7)==784', 'assert sum_series(5)==225', 'assert sum_series(15)==14400']""",Write the sum of 13+23+33+....+n3 series to calculate for a function.
31,32,"একটি প্রদত্ত স্ট্রিং তালিকা থেকে ডুপ্লিকেট শব্দ অপসারণের জন্য একটি ফাংশন লিখুন।
Example:
remove_duplic_list(l)","def remove_duplic_list(l):
    temp = []
    for x in l:
        if x not in temp:
            temp.append(x)
    return temp","""['assert remove_duplic_list([\""Python\"", \""Exercises\"", \""Practice\"", \""Solution\"", \""Exercises\""])==[\\'Python\\', \\'Exercises\\', \\'Practice\\', \\'Solution\\']', 'assert remove_duplic_list([\""Python\"", \""Exercises\"", \""Practice\"", \""Solution\"", \""Exercises\"",\""Java\""])==[\\'Python\\', \\'Exercises\\', \\'Practice\\', \\'Solution\\', \\'Java\\']', 'assert remove_duplic_list([\""Python\"", \""Exercises\"", \""Practice\"", \""Solution\"", \""Exercises\"",\""C++\"",\""C\"",\""C++\""])==[\\'Python\\', \\'Exercises\\', \\'Practice\\', \\'Solution\\',\\'C++\\',\\'C\\']']""",Enter a function for removing duplicate words from a given string list.
32,33,"একটি ফাংশন লিখুন যা রেজেক্স ব্যবহার করে উট কেস স্ট্রিংকে সাপ কেস স্ট্রিংয়ে রূপান্তর করে।
Example:
camel_to_snake(text)","import re
def camel_to_snake(text):
    str1 = re.sub('(.)([A-Z][a-z]+)', r'\1_\2', text)
    return re.sub('([a-z0-9])([A-Z])', r'\1_\2', str1).lower()","""[\""assert camel_to_snake('GoogleAssistant') == 'google_assistant'\"", \""assert camel_to_snake('ChromeCast') == 'chrome_cast'\"", \""assert camel_to_snake('QuadCore') == 'quad_core'\""]""",Write a function that converts an out case string to an out case string using regex.
33,34,"nth ডেলানয় সংখ্যা খুঁজে বের করার জন্য একটি ফাংশন লিখুন।
Example:
dealnnoy_num(n, m)","def dealnnoy_num(n, m): 
	if (m == 0 or n == 0) : 
		return 1
	return dealnnoy_num(m - 1, n) + dealnnoy_num(m - 1, n - 1) + dealnnoy_num(m, n - 1)","""['assert dealnnoy_num(3, 4) == 129', 'assert dealnnoy_num(3, 3) == 63', 'assert dealnnoy_num(4, 5) == 681']""",Enter the nth row number to find a function.
34,35,"সিরিজ 12+22+32+....+n2 এর যোগফল গণনা করার জন্য একটি ফাংশন লিখুন।
Example:
series_sum(number)","def series_sum(number):
    total = 0
    total = (number * (number + 1) * (2 * number + 1)) / 6
    return total","""['assert series_sum(6)==91', 'assert series_sum(7)==140', 'assert series_sum(12)==650']""",Write the series 12+22+32+....+n2's sum to calculate for a function.
35,36,"প্রদত্ত ক্রমিক তালিকার উপর ভিত্তি করে প্রদত্ত টুপলগুলিকে পুনরায় সাজানোর জন্য একটি ফাংশন লিখুন।
Example:
re_arrange_tuples(test_list, ord_list)","def re_arrange_tuples(test_list, ord_list):
    temp = dict(test_list)
    res = [(key, temp[key]) for key in ord_list]
    return (res) ","""['assert re_arrange_tuples([(4, 3), (1, 9), (2, 10), (3, 2)],  [1, 4, 2, 3]) == [(1, 9), (4, 3), (2, 10), (3, 2)]', 'assert re_arrange_tuples([(5, 4), (2, 10), (3, 11), (4, 3)],  [3, 4, 2, 3]) == [(3, 11), (4, 3), (2, 10), (3, 11)]', 'assert re_arrange_tuples([(6, 3), (3, 8), (5, 7), (2, 4)],  [2, 5, 3, 6]) == [(2, 4), (5, 7), (3, 8), (6, 3)]']""",Type a function to rearrange the given groups based on the given sequence list.
36,37,"একটি প্রদত্ত স্ট্রিংয়ের সবচেয়ে সাধারণ অক্ষর গণনা করার জন্য একটি ফাংশন লিখুন।
Example:
max_char(str1)","from collections import Counter 
def max_char(str1):
    temp = Counter(str1) 
    max_char = max(temp, key = temp.get)
    return max_char","""['assert max_char(\""hello world\"")==(\\'l\\')', 'assert max_char(\""hello \"")==(\\'l\\')', 'assert max_char(\""python pr\"")==(\\'p\\')']""",Enter a function for the most common character count of a given string.
37,38,"তিনটি সাজানো অ্যারে থেকে তিনটি নিকটতম উপাদান খুঁজে পেতে একটি ফাংশন লিখুন।
Example:
find_closet(A, B, C, p, q, r)","import sys 

def find_closet(A, B, C, p, q, r): 
	diff = sys.maxsize 
	res_i = 0
	res_j = 0
	res_k = 0
	i = 0
	j = 0
	k = 0
	while(i < p and j < q and k < r): 
		minimum = min(A[i], min(B[j], C[k])) 
		maximum = max(A[i], max(B[j], C[k])); 
		if maximum-minimum < diff: 
			res_i = i 
			res_j = j 
			res_k = k 
			diff = maximum - minimum; 
		if diff == 0: 
			break
		if A[i] == minimum: 
			i = i+1
		elif B[j] == minimum: 
			j = j+1
		else: 
			k = k+1
	return A[res_i],B[res_j],C[res_k]","""['assert find_closet([1, 4, 10],[2, 15, 20],[10, 12],3,3,2) == (10, 15, 10)', 'assert find_closet([20, 24, 100],[2, 19, 22, 79, 800],[10, 12, 23, 24, 119],3,5,5) == (24, 22, 23)', 'assert find_closet([2, 5, 11],[3, 16, 21],[11, 13],3,3,2) == (11, 16, 11)']""",Write a function to find the three closest elements from a three-order array.
38,39,"ল্যাম্বদা ফাংশন ব্যবহার করে অভিধানের তালিকা সাজানোর জন্য একটি ফাংশন লিখুন।
Example:
sorted_models(models)","def sorted_models(models):
    sorted_models = sorted(models, key = lambda x: x['color'])
    return sorted_models","""[\""assert sorted_models([{'make':'Nokia', 'model':216, 'color':'Black'}, {'make':'Mi Max', 'model':2, 'color':'Gold'}, {'make':'Samsung', 'model': 7, 'color':'Blue'}])==[{'make': 'Nokia', 'model': 216, 'color': 'Black'}, {'make': 'Samsung', 'model': 7, 'color': 'Blue'}, {'make': 'Mi Max', 'model': 2, 'color': 'Gold'}]\"", \""assert sorted_models([{'make':'Vivo', 'model':20,'color':'Blue'},{'make': 'oppo','model':17,'color':'Gold'},{'make':'Apple','model':11,'color':'red'}])==([{'make':'Vivo', 'model':20,'color':'Blue'},{'make': 'oppo','model':17,'color':'Gold'},{'make':'Apple','model':11,'color':'red'}])\"", \""assert sorted_models([{'make':'micromax','model':40,'color':'grey'},{'make':'poco','model':60,'color':'blue'}])==([{'make':'poco','model':60,'color':'blue'},{'make':'micromax','model':40,'color':'grey'}])\""]""",Write a function using the dictionary sort list.
39,40,"একটি ফাংশন লিখুন যা হিপ সোর্ট ব্যবহার করে প্রদত্ত অ্যারে বাছাই করে।
Example:
heap_sort(arr)","def heap_sort(arr):
    heapify(arr)  
    end = len(arr) - 1
    while end > 0:
        arr[end], arr[0] = arr[0], arr[end]
        shift_down(arr, 0, end - 1)
        end -= 1
    return arr

def heapify(arr):
    start = len(arr) // 2
    while start >= 0:
        shift_down(arr, start, len(arr) - 1)
        start -= 1
def shift_down(arr, start, end):
    root = start
    while root * 2 + 1 <= end:
        child = root * 2 + 1
        if child + 1 <= end and arr[child] < arr[child + 1]:
            child += 1
        if child <= end and arr[root] < arr[child]:
            arr[root], arr[child] = arr[child], arr[root]
            root = child
        else:
            return
","""['assert heap_sort([12, 2, 4, 5, 2, 3]) == [2, 2, 3, 4, 5, 12]', 'assert heap_sort([32, 14, 5, 6, 7, 19]) == [5, 6, 7, 14, 19, 32]', 'assert heap_sort([21, 15, 29, 78, 65]) == [15, 21, 29, 65, 78]']""",Write a function that sorts a given array using Hip sort.
40,41,"একটি ফাংশন লিখুন যাতে একটি তালিকার উপাদানগুলি গণনা করা যায় যতক্ষণ না একটি উপাদান একটি টুপল হয়।
Example:
count_elim(num)","def count_elim(num):
    count_elim = 0
    for n in num:
        if isinstance(n, tuple):
            break
        count_elim += 1
    return count_elim","""['assert count_elim([10,20,30,(10,20),40])==3', 'assert count_elim([10,(20,30),(10,20),40])==1', 'assert count_elim([(10,(20,30,(10,20),40))])==0']""",Write a function so that the elements of a list can be counted while not an element is a group.
41,42,"প্রদত্ত তালিকায় কোন তালিকা উপাদান উপস্থিত আছে কিনা তা পরীক্ষা করার জন্য একটি ফাংশন লিখুন।
Example:
check_element(test_tup, check_list)","def check_element(test_tup, check_list):
    res = False
    for ele in check_list:
        if ele in test_tup:
            res = True
            break
    return (res) ","""['assert check_element((4, 5, 7, 9, 3),  [6, 7, 10, 11]) == True', 'assert check_element((1, 2, 3, 4),  [4, 6, 7, 8, 9]) == True', 'assert check_element((3, 2, 1, 4, 5),  [9, 8, 7, 6]) == False']""",Enter a function to test whether any list element is present in the given list.
42,43,"heapq মডিউল ব্যবহার করে দুটি প্রদত্ত বাছাই করা তালিকা একত্রিত করার জন্য একটি ফাংশন লিখুন।
Example:
combine_lists(num1,num2)","from heapq import merge
def combine_lists(num1,num2):
    combine_lists=list(merge(num1, num2))
    return combine_lists","""['assert combine_lists([1, 3, 5, 7, 9, 11],[0, 2, 4, 6, 8, 10])==[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]', 'assert combine_lists([1, 3, 5, 6, 8, 9], [2, 5, 7, 11])==[1,2,3,5,5,6,7,8,9,11]', 'assert combine_lists([1,3,7],[2,4,6])==[1,2,3,4,6,7]']""",Write a function for combining two given sorted lists using a heapq module.
